,Compound,Date,Negative,Neutral,Positive,Tweet_Count,User
54,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,45,@BBCWorld
55,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,44,@BBCWorld
56,0.3182,Sat Dec 09 21:09:02 +0000 2017,0.796,0.0,0.204,43,@BBCWorld
57,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,42,@BBCWorld
58,-0.4215,Sat Dec 09 21:09:02 +0000 2017,0.682,0.318,0.0,41,@BBCWorld
59,-0.6808,Sat Dec 09 21:09:02 +0000 2017,0.603,0.397,0.0,40,@BBCWorld
60,-0.6597,Sat Dec 09 21:09:02 +0000 2017,0.565,0.435,0.0,39,@BBCWorld
61,-0.7845,Sat Dec 09 21:09:02 +0000 2017,0.504,0.496,0.0,38,@BBCWorld
62,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,37,@BBCWorld
63,-0.5267,Sat Dec 09 21:09:02 +0000 2017,0.703,0.215,0.082,36,@BBCWorld
64,0.0772,Sat Dec 09 21:09:02 +0000 2017,0.874,0.0,0.126,35,@BBCWorld
65,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,34,@BBCWorld
66,-0.4404,Sat Dec 09 21:09:02 +0000 2017,0.508,0.492,0.0,33,@BBCWorld
67,-0.5994,Sat Dec 09 21:09:02 +0000 2017,0.606,0.394,0.0,32,@BBCWorld
68,-0.4019,Sat Dec 09 21:09:02 +0000 2017,0.748,0.252,0.0,31,@BBCWorld
69,-0.4215,Sat Dec 09 21:09:02 +0000 2017,0.417,0.583,0.0,30,@BBCWorld
70,-0.4019,Sat Dec 09 21:09:02 +0000 2017,0.863,0.137,0.0,29,@BBCWorld
71,-0.7579,Sat Dec 09 21:09:02 +0000 2017,0.519,0.481,0.0,28,@BBCWorld
72,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,27,@BBCWorld
73,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,26,@BBCWorld
74,-0.5423,Sat Dec 09 21:09:02 +0000 2017,0.863,0.137,0.0,25,@BBCWorld
75,-0.25,Sat Dec 09 21:09:02 +0000 2017,0.714,0.286,0.0,24,@BBCWorld
76,-0.6486,Sat Dec 09 21:09:02 +0000 2017,0.798,0.202,0.0,23,@BBCWorld
77,-0.6808,Sat Dec 09 21:09:02 +0000 2017,0.588,0.412,0.0,22,@BBCWorld
78,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,21,@BBCWorld
79,-0.4215,Sat Dec 09 21:09:02 +0000 2017,0.859,0.141,0.0,20,@BBCWorld
80,-0.7184,Sat Dec 09 21:09:02 +0000 2017,0.44,0.418,0.143,19,@BBCWorld
81,0.7244,Sat Dec 09 21:09:02 +0000 2017,0.536,0.0,0.464,18,@BBCWorld
82,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,17,@BBCWorld
83,-0.4019,Sat Dec 09 21:09:02 +0000 2017,0.769,0.231,0.0,16,@BBCWorld
84,-0.5719,Sat Dec 09 21:09:02 +0000 2017,0.619,0.381,0.0,15,@BBCWorld
85,0.34,Sat Dec 09 21:09:02 +0000 2017,0.533,0.187,0.28,14,@BBCWorld
86,0.4019,Sat Dec 09 21:09:02 +0000 2017,0.722,0.0,0.278,13,@BBCWorld
